MEMBER,,TYPE,TEXT,規格書
MTA003P,已下載,PRTF,客戶基本資料檢核表                          A1139,
MTA0031D,已下載,DSPF,客戶基本資料維護   sys ctl                  A1118,
MTA004D,已下載,DSPF,客戶分店資料維護              FOR EDP       A1005,
MTA0041D,已下載,DSPF,客戶分店資料維護                            A1005,
MTA0043P,已下載,PRTF,凍結久未交易之客戶                          A1139,
MTA0044D,已下載,DSPF,凍結久未交易之客戶                        A1139,
MTA005D,已下載,DSPF,員工基本資料維護                            A1034,
MTA006D,已下載,DSPF,禮盒結構資料維護                            A1092,
MTA007D,已下載,DSPF,客戶信用額度維護,
MTA008D,已下載,DSPF,業務員輪調表維護,
MTA009D,已下載,DSPF,專櫃ＰＬＵ資料維護,
MTA010D,已下載,DSPF,產品分類最低售價檔維護,
MTB001D,已下載,DSPF,客戶主檔整檔批次處理 (for field MD31),
MTB001P,已下載,PRTF,客戶主檔整檔批次處理報表 (for field md31),
MTB002D,已下載,DSPF,客戶主檔整檔批次處理 (for field MD32),
MTB003D,已下載,DSPF,客戶主檔整檔批次處理 (for field MD29),
MTI021D,已下載,DSPF,客戶基本資料查詢－通路＋型態,
MTI022D,已下載,DSPF,客戶基本資料查詢－地區＋區域                A1084,
MTI023D,已下載,DSPF,停止交易客戶基本資料查詢－通路＋型態,
MTI024D,已下載,DSPF,停止出貨產品查詢,
MTI025D,已下載,DSPF,組別業務員資料查詢,
MTM000D,已下載,DSPF,主檔資料維護主畫面                          A1005,
MTR010D,已下載,DSPF,產品最低售價列印                            A1139,
MTR010P,已下載,PRTF,產品最低售價列印                            A1139,
MTR041D,已下載,DSPF,產品清冊列印                                A1139,
MTR041P,已下載,PRTF,產品清冊列印                                A1139,
MTR042D,已下載,DSPF,供應商清冊列印                              A1005,
MTR042P,已下載,PRTF,供應商清冊列印                              A1005,
MTR043AP,已下載,PRTF,客戶清冊－客戶代號,
MTR043BP,已下載,PRTF,客戶清冊－地區區域,
MTR043D,已下載,DSPF,客戶清冊,
MTR044D,已下載,DSPF,客戶信用明細表                              A1139,
MTR044P,已下載,PRTF,客戶信用明細表                              A1139,
MTR045D,已下載,DSPF,員工清冊列印                                A1087,
MTR045P,已下載,PRTF,員工清冊列印                                A1087,
MTR046D,已下載,DSPF,禮盒結構表                                  A1139,
MTR046P,已下載,PRTF,禮盒結構表                                  A1139,
MTR047AP,已下載,PRTF,業務員輪調客戶報表,
MTR047BP,已下載,PRTF,業務員輪調客戶報表,
MTR047CP,已下載,PRTF,業務員輪調客戶報表,
MTR047D,已下載,DSPF,業務員輪調客戶報表,
MTR048D,已下載,DSPF,客戶簡明表,
MTR048P,已下載,PRTF,客戶簡明表,
MTR048Z,已下載,PRTF,客戶簡明表,
MTR049D,已下載,DSPF,供應商產品一覽表                            A1005,
MTR049P,已下載,PRTF,供應商產品一覽表                            A1084,
MTR050D,已下載,DSPF,新增產品一覽表,
MTR050P,已下載,PRTF,新增產品一覽表,
MTR051D,已下載,DSPF,產品簡明表                                   0070,
MTR051P,已下載,PRTF,產品簡明表　                                 0070,
MTR052D,已下載,DSPF,收款用客戶明細表                            A1139,
MTR052P,已下載,PRTF,客戶信用明細表                              A1139,
MTR053D,已下載,DSPF,新增客戶一覽表,
MTR053P,已下載,PRTF,新增客戶一覽表,
MTR054D,已下載,DSPF,產品搭贈清冊列印,
MTR054P,已下載,PRTF,產品搭贈清冊列印,
MTR055D,已下載,DSPF,客戶搭贈清冊,
MTR055P,已下載,PRTF,客戶搭贈清冊,
MTR056D,已下載,DSPF,產品基本資料卡列印,
MTR056P,已下載,PRTF,產品基本資料卡列印,
MTR057D,已下載,DSPF,產品簡明表                                   0070,
MUN000D,已下載,DSPF,系統主畫面                          A1005,
NOM000D,已下載,DSPF,生日快樂 / 請勿吸煙,
NPR047P,已下載,PRTF,產品促銷實績金額會總表,
PAA001D,已下載,DSPF,公司別資料維護                              A1005,
PAA002D,已下載,DSPF,代碼資料維護                                A1005,
PAA003D,已下載,DSPF,銷售通路型態碼資料維護                      A1005,
PAA004D,已下載,DSPF,銷售地區碼資料維護                          A1005,
PAA005D,已下載,DSPF,銷售地區區域碼資料維護                      A1005,
PAA006D,已下載,DSPF,產品每箱標準容積維護                        A1005,
PAA007D,已下載,DSPF,代碼資料維護－數字                          A1005,
PAA008D,已下載,DSPF,代碼資料維護－數字                          A1005,
PAA010D,已下載,DSPF,部門品牌對照資料維護                      A1005,
PAA011D,已下載,DSPF,部門成本中心對照資料維護                  A1005,
PAA012D,已下載,DSPF,試飲Ａ＆Ｐ對照資料維護                  A1005,
PAA013D,已下載,DSPF,業務員部門對照資料維護,
PAA014D,已下載,DSPF,銷售大區域碼資料維護,
PAA015D,已下載,DSPF,銷售大區域地區碼資料維護,
PAA016D,已下載,DSPF,地理區代碼資料維護,
PAA017D,已下載,DSPF,地理區地區碼資料維護,
PAA018D,已下載,DSPF,新產品種類代碼維護,
PAA019D,已下載,DSPF,ＡＭＰ代碼維護                              A1005,
PAA020D,已下載,DSPF,試飲ＡＭＰ對照維護                  A1005,
PAM000D,已下載,DSPF,代碼資料維護主畫面                          A1005,
PAR001D,已下載,DSPF,公司別資料列印                              A1005,
PAR001P,已下載,PRTF,公司別資料列印                              A1005,
PAR002D,已下載,DSPF,代碼資料列印                                A1118,
PAR002P,已下載,PRTF,代碼資料列印                                A1118,
PAR003D,已下載,DSPF,銷售通路型態資料列印                        A1005,
PAR003P,已下載,PRTF,銷售通路型態資料列印                        A1005,
PAR004D,已下載,DSPF,銷售地區碼資料列印                          A1005,
PAR004P,已下載,PRTF,銷售地區碼資料列印                          A1005,
PAR005D,已下載,DSPF,銷售地區區域資料列印                        A1005,
PAR005P,已下載,PRTF,銷售地區區域資料列印                        A1005,
PAR007D,已下載,DSPF,代碼資料列印－數字                          A1118,
PAR007P,已下載,PRTF,代碼資料列印－數字                          A1118,
PAR010D,已下載,DSPF,部門品牌對照資料列印                        A1005,
PAR010P,已下載,PRTF,部門品牌對照資料列印                        A1005,
PAR011D,已下載,DSPF,部門成本中心列印,
PAR011P,已下載,PRTF,部門成本中心列印,
PAR012D,已下載,DSPF,試飲Ａ＆Ｐ對照資料列印,
PAR012P,已下載,PRTF,試飲Ａ＆Ｐ對照資料列印,
PAR013D,已下載,DSPF,業務員部門對照資料列印,
PAR013P,已下載,PRTF,業務員部門對照資料列印,
PAR014D,已下載,DSPF,銷售大區域碼資料列印,
PAR014P,已下載,PRTF,銷售大區域碼資料列印,
PAR015D,已下載,DSPF,銷售大區域地區資料列印,
PAR015P,已下載,PRTF,銷售大區域地區資料列印,
PAR018D,已下載,DSPF,新產品種類代碼列印,
PAR018P,已下載,PRTF,新產品種類代碼列印,
PAR019D,已下載,DSPF,ＡＭＰ代碼列印                              A1118,
PAR019P,已下載,PRTF,ＡＭＰ代碼列印,
PAR020D,已下載,DSPF,試飲ＡＭＰ對照資料列印,
PAR020P,已下載,PRTF,試飲ＡＭＰ對照資料列印,
PIA001D,已下載,DSPF,盤點資料產生                                A1087,
PIA002D,已下載,DSPF,盤點資料輸入                                A1087,
PIA003D,已下載,DSPF,盤點結果更新                                A1087,
PIA003P,已下載,PRTF,盤點結果更新錯誤報表                        A1087,
PIA004D,已下載,DSPF,盤點資料清除                                A1087,
PIA005D,已下載,DSPF,盤點基準資料產生,
PIB001D,已下載,DSPF,年終成本庫存備份,
PIB002D,已下載,DSPF,專櫃銷售年終成本庫存調整－調整,
PIB003D,已下載,DSPF,專櫃銷售年終成本庫存更新－銷售,
PIB004D,已下載,DSPF,專櫃盤點年終成本庫存更新－盤點,
PIB006D,已下載,DSPF,專櫃採購月底成本庫存更新－採購,
PII021D,已下載,DSPF,盤點資料查詢,
PII022D,已下載,DSPF,年終成本數量查詢,
PII023D,已下載,DSPF,盤點更新查詢,
PIM000D,已下載,DSPF,盤點作業系統主畫面,
PIR041D,已下載,DSPF,盤點單 (Screen Check)                       A1087,
PIR041P,已下載,PRTF,盤點單 (Print)  套表                        A1087,
PIR042D,已下載,DSPF,盤點清冊                                    A1087,
PIR042P,已下載,PRTF,盤點清冊                                    A1087,
PIR043AP,已下載,PRTF,盤盈虧表－各物流點                          A1087,
PIR043BP,已下載,PRTF,盤盈虧表－總                                A1087,
PIR043D,已下載,DSPF,盤盈虧表                                    A1087,
PIR044D,已下載,DSPF,物流點盤點明細表,
PIR044P,已下載,PRTF,物流點盤點明細表,
PIR045D,已下載,DSPF,盤點庫存檢查報表,
PIR045P,已下載,PRTF,盤點庫存檢查報表,
PIR046AP,已下載,PRTF,年終成本數量列印,
PIR046BP,已下載,PRTF,年終成本數量列印,
PIR046D,已下載,DSPF,年終成本數量列印,
PIR047D,已下載,DSPF,年終成本標準箱數表,
PIR047P,已下載,PRTF,年終成本標準箱數表,
PIR047Z,已下載,PRTF,年終成本標準箱數表,
PIR048D,已下載,DSPF,年終庫存物流彙總表,
PIR048P,已下載,PRTF,年終庫存物流彙總表,
POA001D,已下載,DSPF,供應商產品報價設定   sys ctl                A1092,
POA001DT,已下載,DSPF,供應商產品報價設定   sys+pgm ctl            A1092,
POA002D,已下載,DSPF,採購單資料維護                              A1092,
POA003D,已下載,DSPF,國外採購到貨處理                            A1092,
POA004D,已下載,DSPF,國外採購完稅處理   sys ctl                  A1118,
POA005D,已下載,DSPF,國內採購驗收處理                            A1092,
POA006D,已下載,DSPF,採購單人工結案   sys ctl                    A1087,
POA007D,已下載,DSPF,採購備註資料維護                            A1034,
POA008D,已下載,DSPF,採購單批次結案                              A1118,
POA009D,已下載,DSPF,供應商產品報價設定－康齡,
POA061D,已下載,DSPF,採購資料轉歷史檔案                          A1118,
POA210D,已下載,DSPF,車型請購單建立                              A1034,
POI021D,已下載,DSPF,採購況狀（依產品）                          A1034,
POI022D,已下載,DSPF,採購況狀（依供應商）                        A1034,
POI023D,已下載,DSPF,未結案採購單況狀（依採購單號）              A1139,
POI024D,已下載,DSPF,採購單人工結案   sys ctl                    A1087,
POI026D,已下載,DSPF,供應商產品報價查詢                          A1087,
POI027D,已下載,DSPF,採購單／驗收單查詢,
POI0271D,已下載,DSPF,採購單／驗收單查詢－採購單明細,
POI0272D,已下載,DSPF,採購單／驗收單查詢－驗收單明細,
POI997D,已下載,DSPF,供應商基本資料視窗查詢                      A1491,
POM000D,已下載,DSPF,採購管理系統主畫面                          A1005,
POM001D,已下載,DSPF,採購報表系統主畫面                          A1005,
POR041D,已下載,DSPF,供應商報價明細表                            A1139,
POR041P,已下載,PRTF,供應商報價明細表                            A1139,
POR042D,已下載,DSPF,產品報價比較表                              A1139,
POR042P,已下載,PRTF,產品報價比較表                              A1139,
POR043D,已下載,DSPF,採購單         套表                         A1118,
POR043P,已下載,PRTF,採購單         套表                         A1118,
POR044D,已下載,DSPF,報價逾期表                                  A1139,
POR044P,已下載,PRTF,報價逾期表                                  A1139,
