MEMBER,,TYPE,TEXT,規格書
ARR0622,已下載,RPG,統一發票調節參考表 (PRINT REPORTS)          A1084,
ARR063,已下載,RPG,應收帳款彙總表 (SCREEN CHECK),
ARR0631,已下載,RPG,應收帳款彙總表 (PRINT REPORTS),
ARR064,已下載,RPG,收款沖帳明細表 (SCREEN CHECK),
ARR0641,已下載,RPG,收款沖帳明細表 (WRITE WORK FILE),
ARR0642,已下載,RPG,收款沖帳明細表 (PRINT REPORTS),
ARR065,已下載,RPG,代理商補差額報表 (SCREEN CHECK)           A1084,
ARR0651,已下載,RPG,代理商補差額報表 (PRINT REPORTS)          A1084,
ARR066,已下載,RPG,發票作廢排行榜 (SCREEN CHECK),
ARR0661,已下載,RPG,發票作廢排行榜 (WRITE WORK FILE) 業務員,
ARR0662,已下載,RPG,發票作廢排行榜 (WRITE WORK FILE) 客戶,
ARR0663,已下載,RPG,發票作廢排行榜 (PRINT REPORTS),
ARR067,已下載,RPG,收款分配明細表 (SCREEN CHECK),
ARR0671,已下載,RPG,收款分配明細表 (WRITE WORK FILE),
ARR0672,已下載,RPG,收款分配明細表 (PRINT REPORTS),
ARR068,已下載,RPG,出貨統一發票核對表 (SCREEN CHECK),
ARR0681,已下載,RPG,出貨統一發票核對表 (PRINT REPORTS),
ARR069,已下載,RPG,產品銷貨成本明細表 (SCREEN CHECK),
ARR0691,已下載,RPG,產品銷貨成本明細表 (WRITE WORKFILE),
ARR0692,已下載,RPG,產品銷貨成本明細表 (PRINT REPORTS),
ARR0693,已下載,RPG,產品銷貨成本明細表－僅匯齡專櫃 (WRITE WORKFILE),
ARR0694,已下載,RPG,產品銷貨成本明細表－僅匯齡專櫃 (PRINT REPORTS),
ARR070,已下載,RPG,寄賣產品成本明細表 (SCREEN CHECK),
ARR0701,已下載,RPG,寄賣產品成本明細表 (WRITE WORKFILE),
ARR0702,已下載,RPG,寄賣產品成本明細表 (PRINT REPORTS),
ARR071,已下載,RPG,折讓成本差異表 (SCREEN CHECK),
ARR0711,已下載,RPG,折讓成本差異表 (WRITE WORKFILE),
ARR0712,已下載,RPG,折讓成本差異表 (PRINT REPORTS),
ARR072,已下載,RPG,人工發票差異表 (SCREEN CHECK),
ARR0721,已下載,RPG,人工發票差異表 (PRINT REPORTS),
ARR073,已下載,RPG,遞延銷退餘額明細表 (SCREEN CHECK),
ARR0731,已下載,RPG,遞延銷退餘額明細表 (WRITE WORKFILE),
ARR0732,已下載,RPG,遞延銷退餘額明細表 (PRINT REPORTS),
ARR074,已下載,RPG,轉帳銷退折讓單明細表,
ARR0741,已下載,RPG,轉帳銷退折讓單明細表,
ARR0742,已下載,RPG,轉帳價差折讓單明細表,
ARR075,已下載,RPG,應收帳款週轉率分析表 (SCREEN CHECK),
ARR0751,已下載,RPG,應收帳款週轉率分析表 (PRINT REPORTS),
ARR076,已下載,RPG,應收票據明細表 (SCREEN CHECK),
ARR0761,已下載,RPG,應收票據明細表 (PRINT REPORTS),
