MEMBER,,TYPE,TEXT,規格書
CHKSIADC,已下載,CLP,檢測發票及收款檔,
CHK001C,已下載,CLP,檢核月檔收款檔,
CHK001C1,已下載,CLP,檢核月檔收款檔,
CHK002C,已下載,CLP,CPYSPLF BATCH,
CHK002C1,已下載,CLP,CPYSPLF BY BATCH,
CKR3D0,已下載,CLP,收現記錄列印                                A1092,
CKR3D2,已下載,CLP,收現記錄列印                                A1092,
CLEAR,已下載,CLP,clear file data,
CLMSG,已下載,CLP,ASSET GENERATED CLP TO HANDLE MSG - CLMSG,
CLRCRTF,已下載,CLP,Create BK* file for Compiler,
CLR001C,已下載,CLP,進銷項系統檔案整理作業,
CLR001C1,已下載,CLP,進銷項系統檔案整理作業一,
CLR001C2,已下載,CLP,進銷項系統檔案整理作業二,
CLR001C3,已下載,CLP,進銷項系統檔案整理作業三,
CLR001C4,已下載,CLP,進銷項系統檔案整理作業四,
CLR001C5,已下載,CLP,進銷項系統檔案整理作業五,
CLR002C,已下載,CLP,Create SAVF for First time,
CLR002C1,已下載,CLP,(1) Save some file to *SAVF and DLTF,
CLR002C2,已下載,CLP,(2) Save some file to *SAVF and DLTF,
CLR002C3,已下載,CLP,(3) Save some file to *SAVF and DLTF,
CLR002C4,已下載,CLP,(4) Save some file to *SAVF and DLTF,
CPY007C,已下載,CLP,CPYF REFLIBTEST TO REFLIB                   ERIC,
DATACPY,已下載,CLP,start pc command 'COPY',
DATACVT,已下載,CLP,start pc command 'RTOPCB',
DCM001C,已下載,CLP,捷盟發票下載 Normal,
DCM001C1,已下載,CLP,Prepare Date Range in DATAAREA DCDA01,
DPA003C,已下載,CLP,錯誤統一發票重開,
DPA003C1,已下載,CLP,錯誤統一發票重開,
DPA042C1,已下載,CLP,歷史檔案整理                                A1034,
DPA043C1,已下載,CLP,copy file from reflib to reflibtst,
DPB002C,已下載,CLP,採購檔年度整檔批次,
DPB002C1,已下載,CLP,採購檔年度整檔批次,
DPB002C1S,已下載,CLP,採購檔年度整檔批次,
DPC002C,已下載,CLP,採購檔年度整檔批次 clrpfm/cpyf              A1034,
DWPCMNU,已下載,CLP,管理資訊系統主畫面 -user,
DWPC01C,已下載,CLP,月產品銷售（退）統計表,
DWPC01C1,已下載,CLP,月產品銷售（退）統計表,
DWPC02C,已下載,CLP,產品可用量表－含專櫃及在途量,
DWPC02C1,已下載,CLP,產品可用量表－含專櫃及在途量,
DWPC03C,已下載,CLP,客戶簡明表                                   0121,
DWPC03C1,已下載,CLP,客戶簡明表                                   0121,
DWPC04C,已下載,CLP,HG,
GLR2A2,已下載,CLP,財務比率分析表－年度                        A1092,
GLR2D2,已下載,CLP,管銷費用表                                  A1092,
GLR282,已下載,CLP,比較資產負債表－年度                        A1092,
GLS001,已下載,CLP,字串連結,
HBP2DTS,已下載,CLP,BP2000 - Year shift for test purposes,
IMA009C,已下載,CLP,月結處理,
IMA009C1,已下載,CLP,月結處理,
IMM000C,已下載,CLP,庫存管理系統主畫面                          A1005,
IMM001C,已下載,CLP,庫存管理報表主畫面                          A1005,
IMR041C,已下載,CLP,送貨揀料彙總表                              A1139,
IMR041C1,已下載,CLP,送貨揀料彙總表                              A1139,
IMR042C,已下載,CLP,分車準備明細表                              A1139,
IMR042C1,已下載,CLP,分車準備明細表                              A1139,
IMR043C,已下載,CLP,分車送貨明細表                              A1139,
IMR043C1,已下載,CLP,分車送貨明細表                              A1139,
IMR044C,已下載,CLP,送貨單列印                                  A1118,
IMR044C1,已下載,CLP,送貨單列印                                  A1118,
IMR045C,已下載,CLP,電子統一發票列印                            A1118,
IMR045C1,已下載,CLP,電子統一發票列印　　　                      A1118,
IMR046C,已下載,CLP,客戶送貨明細表                              A1139,
IMR046C1,已下載,CLP,客戶送貨明細表                              A1139,
IMR047C,已下載,CLP,產品送貨明細表                              A1139,
IMR047C1,已下載,CLP,產品送貨明細表                              A1139,
IMR048C,已下載,CLP,進銷存彙總表                                A1139,
IMR048C1,已下載,CLP,進銷存彙總表                                A1139,
IMR049C,已下載,CLP,異動明細表                                  A1139,
IMR049C1,已下載,CLP,異動明細表                                  A1139,
IMR050C,已下載,CLP,存貨週轉率報表                              A1118,
IMR050C1,已下載,CLP,存貨週轉率報表                              A1118,
IMR053C,已下載,CLP,專櫃產品存貨彙總表                          A1139,
IMR053C1,已下載,CLP,專櫃產品存貨彙總表                          A1139,
IMR054C,已下載,CLP,滯銷產品明細表                              A1118,
IMR054C1,已下載,CLP,滯銷產品明細表                              A1118,
IMR055C,已下載,CLP,存貨月報表                                  A1118,
IMR055C1,已下載,CLP,存貨月報表                                  A1118,
IMR056C,已下載,CLP,送貨數量差異報表                            A1139,
IMR056C1,已下載,CLP,送貨數量差異報表                            A1139,
IMR057C,已下載,CLP,物流點存貨明細表                            A1139,
IMR057C1,已下載,CLP,物流點存貨明細表                            A1139,
IMR057C2,已下載,CLP,物流點存貨明細表,
IMR058C,已下載,CLP,倉庫預訂送貨明細表,
IMR058C1,已下載,CLP,倉庫預訂送貨明細表,
IMR060C,已下載,CLP,良壞轉換明細表,
IMR060C1,已下載,CLP,良壞轉換明細表,
IMR061C,已下載,CLP,緊急出貨作業,
IMR061C1,已下載,CLP,緊急出貨作業,
IMR061C2,已下載,CLP,訂單批次處理,
IMR062C,已下載,CLP,產品報廢明細表,
IMR062C1,已下載,CLP,產品報廢明細表,
IMR063C,已下載,CLP,產品保留量彙總表,
IMR063C1,已下載,CLP,產品保留量彙總表,
IMR064C,已下載,CLP,內陸運輸保險表,
IMR064C1,已下載,CLP,內陸運輸保險表,
IMR065C,已下載,CLP,產品與庫存量比較差異表,
IMR065C1,已下載,CLP,產品與庫存量比較差異表,
IMR066C,已下載,CLP,產品調撥明細／彙總表,
IMR066C1,已下載,CLP,產品調撥明細／彙總表,
IMR067C,已下載,CLP,車輛／車次送貨明細表,
IMR067C1,已下載,CLP,車輛／車次送貨明細表,
IMR070C,已下載,CLP,送貨揀料彙總表                              A1139,
IMR070C1,已下載,CLP,送貨揀料彙總表                              A1139,
IMR071C,已下載,CLP,產品送貨數量差異報表,
IMR071C1,已下載,CLP,產品送貨數量差異報表,
IMR072C,已下載,CLP,庫存與異動保留量差異表,
IMR072C1,已下載,CLP,庫存與異動保留量差異表,
IMR073C,已下載,CLP,普銷送貨揀料彙總表,
IMR073C1,已下載,CLP,普銷送貨揀料彙總表,
IMR074C,已下載,CLP,普銷淨出貨表,
IMR074C1,已下載,CLP,普銷淨出貨表,
IMR075C,已下載,CLP,收貨未確認明細表,
IMR075C1,已下載,CLP,收貨未確認明細表,
IMR076C,已下載,CLP,產品存量分佈明細表,
IMR076C1,已下載,CLP,產品存量分佈明細表,
IMR077C,已下載,CLP,調撥單列印（套表）,
IMR077C1,已下載,CLP,調撥單列印（套表）,
IMR078C,已下載,CLP,單位成本移動平均變動表,
IMR078C1,已下載,CLP,單位成本移動平均變動表,
IMR079C,已下載,CLP,年終與月結成本差異表,
IMR079C1,已下載,CLP,年終與月結成本差異表,
IMR080C,已下載,CLP,存貨明細帳,
IMR080C1,已下載,CLP,存貨明細帳,
IMR081C,已下載,CLP,產品可用量表－含專櫃及在途量,
IMR081C1,已下載,CLP,產品可用量表－含專櫃及在途量,
IMR082C,已下載,CLP,產品辦事處通路彙總表,
IMR082C1,已下載,CLP,產品辦事處通路彙總表          *,
IMR083C,已下載,CLP,送貨未確認明細表                            A1139,
IMR083C1,已下載,CLP,送貨未確認明細表                            A1139,
IMR085C,已下載,CLP,產品庫存報表 FOR BATCH PROCESS,
INL01,已下載,CLP,INZ PGM  (MENU),
INL02,已下載,CLP,INZ PGM  (SUB-FILE MENU),
JLBCHKC,已下載,CLP,檢核進銷存過帳,
JLBCHKC1,已下載,CLP,檢核進銷存過帳,
JLB011C,已下載,CLP,銷售傳票批次,
JLB011C1,已下載,CLP,銷售傳票批次,
JLB012C,已下載,CLP,試飲傳票批次,
JLB012C1,已下載,CLP,試飲傳票批次,
JLB013C,已下載,CLP,寄賣傳票批次,
JLB013C1,已下載,CLP,寄賣傳票批次,
JLB014C,已下載,CLP,補貨傳票批次,
JLB014C1,已下載,CLP,補貨傳票批次,
JLB015C,已下載,CLP,人工作廢發票傳票批次,
JLB015C1,已下載,CLP,人工作廢發票傳票批次    ss16='S01',
JLB021C,已下載,CLP,銷退傳票批次,
JLB021C1,已下載,CLP,銷退傳票批次,
JLB021C2,已下載,CLP,銷退傳票批次,
JLB022C,已下載,CLP,寄賣退回傳票批次,
JLB022C1,已下載,CLP,寄賣退回傳票批次,
JLB023C,已下載,CLP,試飲退回傳票批次,
JLB023C1,已下載,CLP,試飲退回傳票批次,
JLB031C,已下載,CLP,收款沖帳傳票批次,
JLB031C1,已下載,CLP,收款沖帳傳票批次,
JLB041C,已下載,CLP,國外到貨傳票批次,
JLB041C1,已下載,CLP,國外到貨傳票批次,
JLB042C,已下載,CLP,完稅傳票批次,
JLB042C1,已下載,CLP,完稅傳票批次,
JLB043C,已下載,CLP,國內採購傳票批次,
JLB043C1,已下載,CLP,國內採購傳票批次,
JLB051C,已下載,CLP,庫存異動傳票批次,
JLB051C1,已下載,CLP,庫存異動傳票批次,
JLM000C,已下載,CLP,產生傳票系統主畫面                          A1034,
KIA004C,已下載,CLP,盤點資料清除,
KIB002C,已下載,CLP,專櫃銷售年終成本庫存調整－調整,
KIB003C,已下載,CLP,專櫃銷售年終成本庫存更新－銷售,
KIB004C,已下載,CLP,專櫃盤點年終成本庫存更新－盤點,
KIB006C,已下載,CLP,專櫃採購月底成本庫存更新－採購,
KIM000C,已下載,CLP,盤點作業系統主畫面                          A1005,
KIP008C,已下載,CLP,專櫃調撥處理 ( 前台 )                       A1492,
KIP009C,已下載,CLP,專櫃調撥處理 ( 後台 )                       A1492,
KIP011C,已下載,CLP,Retrive Divice IP Address,
KIP013C,已下載,CLP,專櫃銷售年終成本庫存更新－銷售,
KIP014C,已下載,CLP,專櫃銷售年終成本庫存更新－調整,
KIR041C,已下載,CLP,盤點單列印                                  A1087,
KIR041C1,已下載,CLP,盤點單列印                                  A1087,
KIR042C,已下載,CLP,盤點清冊                                    A1087,
KIR042C1,已下載,CLP,盤點清冊                                    A1087,
KIR043C,已下載,CLP,盤盈虧表                                    A1087,
KIR043C1,已下載,CLP,盤盈虧表                                    A1087,
KIR044C,已下載,CLP,物流點盤點明細表,
KIR044C1,已下載,CLP,物流點盤點明細表,
KIR045C,已下載,CLP,盤點庫存檢查報表,
KIR045C1,已下載,CLP,盤點庫存檢查報表,
KIR046C,已下載,CLP,年終成本數量列印,
KIR046C1,已下載,CLP,年終成本數量列印,
KIR047C,已下載,CLP,年終成本標準箱數表  **DELETE DELETE,
KIR047C1,已下載,CLP,年終成本標準箱數表  **DELETE DELETE,
KIR048C,已下載,CLP,年終庫存物流彙總表,
KIR048C1,已下載,CLP,年終庫存物流彙總表,
KIS000C1,已下載,CLP,前台管理主畫面                              A1492,
KIS000C2,已下載,CLP,後台管理主畫面                              A1492,
KIS000C3,已下載,CLP,專櫃報表管理主畫面                          A1491,
KIS004C,已下載,CLP,前台訂單處理維護                            A1492,
KIS005C,已下載,CLP,後台訂單處理維護                            A1492,
KIS006C,已下載,CLP,茂世產品匯總表 ( 後台 )                     A1491,
KIS006C1,已下載,CLP,茂世產品匯總表 ( 後台 ) -  下載檔           A1491,
KIS007C,已下載,CLP,其他產品匯總表 ( 後台 )                     A1491,
KIS007C1,已下載,CLP,其他產品匯總表 ( 後台 ) -  下載檔           A1491,
KIS007C2,已下載,CLP,其他產品匯總表 ( 後台 ) -  下載檔           A1491,
KIS008C,已下載,CLP,訂單轉採購                                  A1492,
KIS010C,已下載,CLP,採購訂單驗收 ( 前台 )                       A1492,
KIS011C,已下載,CLP,採購訂單查詢 ( 前台 )                       A1492,
KIS012C,已下載,CLP,大榮送貨檔                                  A1491,
KIS012C1,已下載,CLP,大榮送貨檔 -  下載檔                        A1491,
KIS014C,已下載,CLP,採購單批次結案                              A1118,
KIS015C,已下載,CLP,茂世產品匯總表 ( 後台 )                     A1491,
KIS015C1,已下載,CLP,茂世產品匯總表 ( 後台 ) -  下載檔           A1491,
KIS016C,已下載,CLP,進貨分析表                                  A1491,
KIS016C1,已下載,CLP,進貨分析表  --             下載檔           A1491,
KIS0170C,已下載,CLP,物流點庫存報表                              A1491,
KIS0171C,已下載,CLP,物流點庫存報表                              A1491,
KIS0172C,已下載,CLP,物流點庫存報表下載檔,
KIS0180C,已下載,CLP,物流點庫存報表                              A1491,
KIS0181C,已下載,CLP,物流點庫存報表 - 年終                       A1491,
KIS0182C,已下載,CLP,物流點庫存報表下載檔,
KIS0200C,已下載,CLP,產品名稱報表                                A1491,
KIS0201C,已下載,CLP,產品名稱報表                                A1491,
KIS0202C,已下載,CLP,產品名稱報表下載檔,
KIS0210C,已下載,CLP,專櫃銷售日報表                              A1491,
KIS0211C,已下載,CLP,專櫃銷售日報表                              A1491,
KIS0212C,已下載,CLP,專櫃銷售日報表下載檔,
KIS022C,已下載,CLP,調撥單批次結案                              A1491,
KIS023C,已下載,CLP,銷售訂單確認報表,
KIS023C1,已下載,CLP,銷售訂單確認報表,
KIS024C,已下載,CLP,失敗訂單報表,
KIS024C1,已下載,CLP,失敗訂單報表,
MSOM00C,已下載,CLP,月報表系統主畫面                          A1034,
MSOR041C,已下載,CLP,月通路產品銷售彙總表,
MSOR041CQ,已下載,CLP,月通路產品銷售彙總表  for qstrup program run,
MSOR041C1,已下載,CLP,月通路產品銷售彙總表,
MSOR042C,已下載,CLP,月業務員銷售報表,
MSOR042C1,已下載,CLP,月業務員銷售報表,
MSOR043C,已下載,CLP,品牌通路銷售月彙總表,
MSOR043C1,已下載,CLP,品牌通路銷售月彙總表,
MSOR044C,已下載,CLP,月ＹＴＤ品牌通路銷售月彙總表,
MSOR044C1,已下載,CLP,月ＹＴＤ品牌通路銷售月彙總表,
MSOR045C,已下載,CLP,月客戶銷售（退）統計表,
MSOR045C1,已下載,CLP,月客戶銷售（退）統計表,
MSOR046C,已下載,CLP,月產品銷售（退）統計表,
MSOR046C1,已下載,CLP,月產品銷售（退）統計表－分通路,
MSOR047C,已下載,CLP,月存貨週轉統計年報,
MSOR047C1,已下載,CLP,月存貨週轉統計年報,
MSOR048C,已下載,CLP,通路產品平均銷售單價表,
MSOR048C1,已下載,CLP,通路產品平均銷售單價表,
MTA003C,已下載,CLP,客戶基本資料維護                            A1139,
MTA003C1,已下載,CLP,客戶基本資料維護                            A1139,
MTA0042C,已下載,CLP,銷售分析報表主畫面                          A1005,
MTA0043C,已下載,CLP,凍結久未交易之客戶,
MTA005C,已下載,CLP,MTA005-company member maintenance,
MTA010C,已下載,CLP,產品分類最低售價維護                        A1139,
MTB000C,已下載,CLP,客戶主檔整檔批次處理   FOR BATCH PROCESS,
MTB001C,已下載,CLP,客戶主檔整檔批次處理,
MTB002C,已下載,CLP,客戶主檔整檔批次處理,
MTB003C,已下載,CLP,客戶主檔整檔批次處理,
MTB004C,已下載,CLP,客戶主檔整檔批次處理,
MTI023C,已下載,CLP,停止往來客戶查詢－通路型態,
MTM000C,已下載,CLP,主檔資料維護主畫面                          A1005,
MTR010C,已下載,CLP,產品最低售價列印,
MTR010C1,已下載,CLP,產品最低售價列印,
MTR041C,已下載,CLP,產品清冊列印,
